 Use Code,Use,TreatmentTherapeutic_Area
U-1311 ,method treating cystic fibrosis,"['HEPATOLOGY (LIVER, PANCREATIC, GALL BLADDER) (54) ']"
U-1906 ,"method treating patient cystic fibrosis, patient g551d mutation cftr, using n-(5-hydroxy-2,4-di-tert-butyl-phenyl)-4-oxo-1h-quinoline-3-carboxamide","['HEPATOLOGY (LIVER, PANCREATIC, GALL BLADDER) (54) ']"
U-1905 ,"method treating patient cystic fibrosis, patient r117h mutation cftr, using n-(5-hydroxy-2,4-di-tert-butyl-phenyl)-4-oxo-1h-quinoline-3-carboxamide","['HEPATOLOGY (LIVER, PANCREATIC, GALL BLADDER) (54) ']"
U-2234 ,use ivacaftor treating cystic fibrosis patient mild moderate cf phenotype least one mutation cftr gene responsive ivacaftor based clinical and/or vitro assay data,['PULMONARY/RESPIRATORY DISEASES (135) ']
U-2374 ,treatment cystic fibrosis patient age 2-5 years homozygous f508del mutation cftr gene using lumacaftor ivacaftor,"['HEPATOLOGY (LIVER, PANCREATIC, GALL BLADDER) (54) ']"
U-2396 ,treatment cystic fibrosis patient age 2-5 years homozygous f508del mutation cftr gene using dosage unit comprising lumacaftor recited claim 1 us patent 8716338 ivacaftor,"['HEPATOLOGY (LIVER, PANCREATIC, GALL BLADDER) (54) ']"
U-2375 ,treatment cystic fibrosis patient age 2-5 years homozygous f508del mutation cftr gene using lumacaftor form ivacaftor,"['HEPATOLOGY (LIVER, PANCREATIC, GALL BLADDER) (54) ']"
U-2397 ,treatment cystic fibrosis patient age 2-5 years homozygous f508del mutation cftr gene using dosage unit comprising lumacaftor ivacaftor recited claim 1 us patent 9192606,"['HEPATOLOGY (LIVER, PANCREATIC, GALL BLADDER) (54) ']"
U-2376 ,treatment cystic fibrosis patient age 2-5 years homozygous f508del mutation cftr gene using lumacaftor solid composition comprising amorphous less 30% crystalline ivacaftor,"['HEPATOLOGY (LIVER, PANCREATIC, GALL BLADDER) (54) ']"
U-1791 ,"emergency treatment adult & pediatric patients following fluorouracil capecitabine overdose,or exhibit early-onset,severe life-threatening cardiac cns toxicity unusually severe adverse reactions within 96 hours",['NEUROLOGY (189) ']
U-1878 ,opioid dependence,['NEUROLOGY (189) ']
U-2272 ,treatment nasal polyps patients >=18 years age ethmoid sinus surgery using corticosteroid-eluting (mometasone furoate) implant,['FAMILY MEDICINE (624) ']
U-708 ,treatment chronic non-infectious uveitis affecting posterior segment eye,['FAMILY MEDICINE (624) ']
U-1271 ,treatment adult patients philadelphia chromosome-negative(ph-) acute lymphoblastic leukemia (all) second greater relapse whose disease progressed following two anti-leukemia therapies,['ONCOLOGY (263) ']
U-1848 ,"treatment metastatic adenocarcinoma pancreas progressed gemcitabine-based therapy, combination 5-fluorouracil leucovorin",['ONCOLOGY (263) ']
U-1856 ,"treatment metastatic adenocarcinoma pancreas progressed gemcitabine-based therapy, combination 5-fluorouracil leucovorin, patient homozygous ugt1a1*28 allele",['ONCOLOGY (263) ']
U-1899 ,"treatment pancreatic cancer progressed gemcitabine-based therapy, combination 5-fluorouracil leucovorin",['ONCOLOGY (263) ']
U-1917 ,"treatment exocrine pancreatic cancer progressed gemcitabine-based therapy, combination 5-fluorouracil leucovorin",['ONCOLOGY (263) ']
U-2091 ,"treatment metastatic adenocarcinoma pancreas progressed gemcitabine-based therapy, combination 5-fluorouracil leucovorin, patient homozygous ugt1a1*28 allele",['ONCOLOGY (263) ']
U-1792 ,treatment otic infection inflammation,['FAMILY MEDICINE (624) ']
U-1793 ,treatment pediatric patients otitis media effusion undergoing tympanostomy tube placement,['FAMILY MEDICINE (624) ']
U-2252 ,treatment acute otitis externa patients 6 months age older due pseudomonas aeruginosa staphylococcus aureus,['FAMILY MEDICINE (624) ']
U-967 ,"method reversing soft-tissue anesthesia i.e. anesthesia lip tongue, associated functional deficits resulting intraoral submucosal injection local anesthetic",['NEUROLOGY (189) ']
U-764 ,treatment schizophrenia,['PSYCHIATRY/PSYCHOLOGY (73) ']
U-596 ,treatment hormone receptor positive metastatic breast cancer postmenopausal women disease progression following antiestrogen therapy,['ONCOLOGY (263) ']
U-1826 ,"treatment hr-positive, human epidermal growth factor receptor 2 (her2)-negative advanced metastatic breast cancer combination palbociclib women disease progression endocrine therapy",['ONCOLOGY (263) ']
U-2108 ,treatment hormone receptor positive her2-negative advanced breast cancer postmenopausal women previously treated endocrine therapy,['ONCOLOGY (263) ']
U-2163 ,"treatment hr-positive, human epidermal growth factor receptor 2 (her-2)-negative advanced metastatic breast cancer combination palbociclib abemaciclib women disease progression endocrine therapy",['ONCOLOGY (263) ']
U-336 ,diagnostic radioimaging,['FAMILY MEDICINE (624) ']
U-1187 ,treatment pathological state antagonizing bradykinin receptor including treatment acute attacks hereditary angioedema (hae),['FAMILY MEDICINE (624) ']
U-1891 ,treatment prevention nausea vomiting,['ONCOLOGY (263) ']
U-2253 ,"prophylactic treatment nausea vomiting, including prevention acute delayed nausea vomiting associated chemotherapy",['ONCOLOGY (263) ']
U-2316 ,treatment dyspareunia,['FAMILY MEDICINE (624) ']
U-2317 ,treatment symptom vulvar vaginal atrophy,['OBSTETRICS/GYNECOLOGY (WOMEN’S HEALTH) (120) ']
U-1922 ,"intravaginal prasterone (dehydroepiandrosterone) daily dose 6.5mg treatment dyspareunia, symptom vulvar vaginal atrophy, due menopause",['OBSTETRICS/GYNECOLOGY (WOMEN’S HEALTH) (120) ']
U-2003 ,"method positioning intrauterine system holding inserter handle one hand, advancing inserter cervix uterus, retracting slider handle release intrauterine system",['OBSTETRICS/GYNECOLOGY (WOMEN’S HEALTH) (120) ']
U-2348 ,method prevention pregnancy,['OBSTETRICS/GYNECOLOGY (WOMEN’S HEALTH) (120) ']
U-1816 ,treatment urea cycle disorder,['PSYCHIATRY/PSYCHOLOGY (73) ']
U-1383 ,dosage adjustment nitrogen scavenging drug treatment urea cycle disorder,['PSYCHIATRY/PSYCHOLOGY (73) ']
U-835 ,relief inflammatory pruritic manifestations atopic dermatitis patients one year age older,['FAMILY MEDICINE (624) ']
U-1775 ,use lotion containing halobetasol propionate treatment corticosteroid-responsive dermatoses including psoriasis,['DERMATOLOGY (109) ']
U-1932 ,method treating mild moderate atopic dermatitis.,['FAMILY MEDICINE (624) ']
U-2267 ,method relieving pain associated post-herpetic neuralgia,['NEUROLOGY (189) ']
U-645 ,treatment asthma,['FAMILY MEDICINE (624) ']
U-1476 ,"indicated long-term, once-daily, maintenance treatment airflow obstruction patients chronic obstructive pulmonary disease (copd), including chronic bronchitis and/or emphysema.",['PULMONARY/RESPIRATORY DISEASES (135) ']
U-1559 ,indicated once-daily maintenance treatment asthma prophylactic therapy patients aged 12 years age older,['PULMONARY/RESPIRATORY DISEASES (135) ']
U-2349 ,once-daily maintenance treatment asthma prophylactic therapy patients aged 5 years older,['FAMILY MEDICINE (624) ']
U-1401 ,"indicated long-term, once-daily maintenance treatment airflow obstruction pts copd, including chronic bronchitis and/or emphysema, also reduce exacerbations copd pts history exacerbations",['PULMONARY/RESPIRATORY DISEASES (135) ']
U-1691 ,indicated once-daily inhaled treatment asthma adults aged 18 years older,['FAMILY MEDICINE (624) ']
U-2099 ,"indicated long-term, once-daily, maintenance treatment airflow obstruction patients chronic obstructive pulmonary disease (copd), including bronchitis and/or emphysema",['PULMONARY/RESPIRATORY DISEASES (135) ']
U-2100 ,indicated once-daily treatment asthma patients 18 years older,['FAMILY MEDICINE (624) ']
U-1424 ,"long-term, daily maintenance treatment airflow obstruction pts copd, including chronic bronchitis and/or emphysema, also reduce exacerbations copd patients history exacerbations",['PULMONARY/RESPIRATORY DISEASES (135) ']
U-1548 ,"long-term, once-daily maintenance treatment airflow obstruction patients copd, including chronic bronchitis and/or emphysema, also reduce exacerbations copd patients history exacerbations",['PULMONARY/RESPIRATORY DISEASES (135) ']
U-1773 ,long - term maintenance treatment airflow obstruction patients chronic obstructive pulmonary disease (copd),['PULMONARY/RESPIRATORY DISEASES (135) ']
U-2125 ,treatment inflammatory disorder respiratory tract once-per-day administration pharmaceutical formulation comprising fluticasone furoate long-acting beta2 adrenoreceptor agonist,['FAMILY MEDICINE (624) ']
U-2134 ,treatment chronic obstructive pulmonary disease once-per-day administration pharmaceutical formulation comprising fluticasone furoate long-acting beta2 adrenoreceptor,['FAMILY MEDICINE (624) ']
U-2126 ,"use fluticasone furoate treatment inflammatory allergic conditions, including chronic obstructive pulmonary disease",['PULMONARY/RESPIRATORY DISEASES (135) ']
U-2127 ,"indicated long-term, once-daily, maintenance treatment patients chronic obstructive pulmonary disease (copd), including chronic bronchitis and/or emphysema",['PULMONARY/RESPIRATORY DISEASES (135) ']
U-2128 ,"method inhibiting binding acetylcholine acetylcholine receptor respiratory tract human, comprising contacting receptor effective amount umeclidinium, via inhalation",['FAMILY MEDICINE (624) ']
U-2129 ,"method inhibiting binding acetylcholine acetylcholine receptor respiratory tract human, comprising contacting receptor effective amount umeclidinium, via topical application",['FAMILY MEDICINE (624) ']
U-2301 ,use combination dexamethasone adults prevention acute delayed nausea vomiting associated initial repeat courses highly emetogenic cancer chemotherapy,['ONCOLOGY (263) ']
U-2124 ,treatment adult patients relapsed follicular lymphoma received least two prior systemic therapies,['HEMATOLOGY (135) ']
U-2028 ,treatment acute bacterial skin skin structure infections caused designated susceptible bacteria adults,['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-1544 ,treatment patients relapsed refractory peripheral t-cell lymphoma (ptcl).,['ONCOLOGY (263) ']
U-1180 ,treatment following infections: complicated skin skin structure infections staphylococcus aureus bloodstream infections (bacteremia) including right-sided infective endocarditis,['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-1517 ,treatment bacterial infections using two-dose regimen dalbavancin.,['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-2265 ,prevention nausea vomiting associated hec mec adult pediatric patients,['ONCOLOGY (263) ']
U-2260 ,"method reducing risk periprocedural myocardial infarction, stent thrombosis patient undergoing pci administering intravenously 30 ug/kg bolus pci continuous infusion",['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-1715 ,p2y12 platelet inhibitor use adjunct percutaneous coronary intervention reduce risk various diseases/conditions patients treated p2y12 platelet inhibitor given glycoprotein iib/iiia inhibitor,['FAMILY MEDICINE (624) ']
U-1926 ,"method treating, reducing incidence of, preventing ischemic event patient undergoing pci administering intravenously 30 ug/kg bolus pci continuous infusion 4 ug/kg/min least 2 hours duration pci",['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-1260 ,treatment patients multiple myeloma received least two prior therapies including bortezomib immunomodulatory agent demonstrated disease progression within 60 days completion last therapy,['FAMILY MEDICINE (624) ']
U-1924 ,kyprolis indicated combination lenalidomide plus dexamethasone treatment patients relapsed refractory multiple myeloma received one three lines therapy,['ONCOLOGY (263) ']
U-2319 ,kyprolis indicated combination dexamethasone lenalidomide plus dexamethasone treatment patients relapsed refractory multiple myeloma received one three lines therapy,['ONCOLOGY (263) ']
U-2320 ,kyprolis indicated single agent treatment patients relapsed refractory multiple myeloma received one lines therapy,['ONCOLOGY (263) ']
U-2449 ,treatment bacterial skin skin structure infection,['DERMATOLOGY (109) ']
U-1569 ,treatment bacterial skin skin structure infections,['DERMATOLOGY (109) ']
U-1570 ,treatment bacterial skin skin structure infections using single dose,['DERMATOLOGY (109) ']
U-282 ,method treating bacterial infections,['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-1676 ,methods treating bacterial infections,['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-2341 ,method reconstituting lyophilized liposomal composition administering cytarabine daunorubicin treat adults newly-diagnosed therapy-related acute myeloid leukemia (t-aml) aml myelodysplasia-related changes (aml-mrc),['ONCOLOGY (263) ']
U-2342 ,method administering reconstituted liposomal composition containing cytarabine daunorubicin treat adults newly-diagnosed therapy-related acute myeloid leukemia (t-aml) aml myelodysplasia-related changes (aml-mrc),['ONCOLOGY (263) ']
U-2090 ,treatment adults newly-diagnosed therapy-related acute myeloid leukemia (t-aml) aml myelodysplasia-related changes (aml-mrc),['ONCOLOGY (263) ']
U-36 ,methods treating bacterial illnesses,['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-1672 ,treatment complicated intra-abdominal infection,['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-1673 ,"treatment complicated urinary tract infection, including pyelonephritis",['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-2460 ,"visualization vessels, blood flow tissue perfusion coronary artery bypass graft vascular, gastrointestinal, organ transplant, plastic, micro- reconstructive, including minimally invasive, surgery",['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-2461 ,"visualization vessels, blood flow tissue perfusion cardiovascular bypass graft vasculature vascular, gastrointestinal, organ transplant, plastic, micro- reconstructive, including minimally invasive, surgery",['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-2462 ,"visualization vessels, blood flow tissue perfusion vessel arteriovenous malformation vascular, gastrointestinal, organ transplant, plastic, micro- reconstructive, including minimally invasive, surgery",['ONCOLOGY (263) ']
U-2463 ,"visualization vessels, blood flow tissue perfusion surgical flaps vascular, gastrointestinal, organ transplant, plastic, micro- reconstructive, including minimally invasive, surgery",['ONCOLOGY (263) ']
U-2464 ,"visualization vessels, blood flow tissue perfusion transplanted organ attached vessel vascular, gastrointestinal, organ transplant, plastic, micro- reconstructive, including minimally invasive, surgery",['ONCOLOGY (263) ']
U-2468 ,visualization extrahepatic biliary duct attached transplanted organ patients 12 years older,['FAMILY MEDICINE (624) ']
U-2465 ,"visualization vessels, blood flow tissue perfusion vessel graft vascular, gastrointestinal, organ transplant, plastic, micro- reconstructive, including minimally invasive, surgery",['ONCOLOGY (263) ']
U-2466 ,"visualization vessels, blood flow tissue perfusion donor organ attached vessel vascular, gastrointestinal, organ transplant, plastic, micro- reconstructive, including minimally invasive, surgery",['ONCOLOGY (263) ']
U-2467 ,visualization extrahepatic biliary duct attached donor organ patients 12 years older,['FAMILY MEDICINE (624) ']
U-257 ,treatment hiv infection,['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-1766 ,treatment hyperkalemia,['FAMILY MEDICINE (624) ']
U-1320 ,treatment adult patients short bowel syndrome dependent parenteral support,['FAMILY MEDICINE (624) ']
U-2308 ,treatment adult patients short bowel syndrome dependent parenteral support,['FAMILY MEDICINE (624) ']
U-1300 ,treatment patients tyrosine kinase inhibitor (tki) resistant intolerant chronic myeloid/myelogenous leukemia (cml),['ONCOLOGY (263) ']
U-1576 ,treatment leukemia,['ONCOLOGY (263) ']
U-2489 ,treatment moderate severe opioid use disorder,['NEUROLOGY (189) ']
U-2173 ,treating opioid dependence administering buprenorphine,['NEUROLOGY (189) ']
U-2174 ,treating opioid dependency administering buprenorphine per month,['NEUROLOGY (189) ']
U-2175 ,treating opioid dependency administering buprenorphine monthly,['NEUROLOGY (189) ']
U-2206 ,treating opioid dependency administering buprenorphine,['NEUROLOGY (189) ']
U-2176 ,treating opioid addiction administering buprenorphine,['NEUROLOGY (189) ']
U-2177 ,treating opioid addiction subcutaneous injection buprenorphine,['FAMILY MEDICINE (624) ']
U-2178 ,treating opioid addiction administering buprenorphine composition 28 day dose duration,['ONCOLOGY (263) ']
U-2209 ,treating opioid addiction administering buprenorphine per month,['NEUROLOGY (189) ']
U-2179 ,situ formation solid buprenorphine composition,['ONCOLOGY (263) ']
U-2180 ,treating addiction 100 mg 300 mg dose buprenorphine,['FAMILY MEDICINE (624) ']
U-2207 ,treating addiction subcutaneous injection buprenorphine,['FAMILY MEDICINE (624) ']
U-2208 ,treating addiction per month administration buprenorphine,['FAMILY MEDICINE (624) ']
U-2181 ,treating opioid dependency subcutaneously administering buprenorphine,['NEUROLOGY (189) ']
U-2210 ,treating opioid addiction 100 mg 300 mg dose buprenorphine,['FAMILY MEDICINE (624) ']
U-2211 ,treating opioid addiction administration buprenorphine,['NEUROLOGY (189) ']
U-1419 ,treatment acute cyanide poisoning judged life threatening,['FAMILY MEDICINE (624) ']
U-2015 ,sodium thiosulfate injection indicated sequential use sodium nitrite treatment acute cyanide poisoning,['FAMILY MEDICINE (624) ']
U-1834 ,treatment postoperative inflammation prevention ocular pain patients undergoing cataract surgery,['OPHTHALMOLOGY (56) ']
U-2222 ,relieves redness eye due minor eye irritations,['OPHTHALMOLOGY (56) ']
U-1680 ,treatment ocular itching associated allergic conjunctivitis,['OPHTHALMOLOGY (56) ']
U-1524 ,reduction elevated intraocular pressure,['OPHTHALMOLOGY (56) ']
U-1900 ,treatment signs symptoms dry eye disease (ded),['FAMILY MEDICINE (624) ']
U-1880 ,treatment signs symptoms dry eye disease (ded),['FAMILY MEDICINE (624) ']
U-1578 ,treatment acute otitis media,['FAMILY MEDICINE (624) ']
U-2440 ,maintenance treatment patients chronic obstructive pulmonary disease (copd),['PULMONARY/RESPIRATORY DISEASES (135) ']
U-2236 ,reducing risk preterm birth women singleton pregnancy history singleton spontaneous preterm birth,['OBSTETRICS/GYNECOLOGY (WOMEN’S HEALTH) (120) ']
U-1942 ,treatment spinal muscular atrophy increasing exon-7 inclusion smn2 mrna,['MUSCULOSKELETAL (109) ']
U-1943 ,treatment spinal muscular atrophy,['MUSCULOSKELETAL (109) ']
U-1944 ,treatment spinal muscular atrophy inhibiting smn2 pre-mrna intronic splicing silencer site,['FAMILY MEDICINE (624) ']
U-1941 ,treatment infantile-onset spinal muscular atrophy,['NEUROLOGY (189) ']
U-2093 ,treatment type ii spinal muscular atrophy,['ENDOCRINOLOGY (229) ']
U-2094 ,treatment type iii spinal muscular atrophy,['FAMILY MEDICINE (624) ']
U-298 ,method combating bacteria patient,['FAMILY MEDICINE (624) ']
U-2450 ,positron emission tomography diagnostic agent adults suspected prostate cancer recurrence based elevated blood prostate specific antigen levels following prior treatment,['UROLOGY (54) ']
U-1879 ,method diagnosing tumors using positron emission tomography,['FAMILY MEDICINE (624) ']
U-1795 ,reversal neuromuscular blockage induced rocuronium bromide vecuronium bromide,['PHARMACOLOGY/TOXICOLOGY (32) ']
U-1794 ,reversal drug-induced neuromuscular block,['PHARMACOLOGY/TOXICOLOGY (32) ']
U-1815 ,treatment partial-onset seizures adjunctive therapy patients epilepsy aged 16 years older epilepsy,['NEUROLOGY (189) ']
U-2130 ,treatment partial onset seizures patients epilepsy aged 16 years older epilepsy,['NEUROLOGY (189) ']
U-981 ,"management mild moderate pain, management moderate severe pain adjunct opioid analgesics, reduction fever anti-inflammatory, analgesic, antipyretic activity",['NEUROLOGY (189) ']
U-1599 ,"management mild moderate pain, management moderate severe pain adnunct opioid analgesics, reduction fever anti inflammatory, analgesic, antipyretic activity",['NEUROLOGY (189) ']
U-2264 ,"methods treating pain, inflammation, fever, patent ductus arteriosis aqueous composition",['NEUROLOGY (189) ']
U-2266 ,"methods making aqueous composition treating pain, inflammation, fever, patent ductus arteriosis aqueous composition",['NEUROLOGY (189) ']
U-1735 ,"methods treating pain, inflammation and/or fever intravenous ibuprofen mean arterial blood pressure increase dosage interval",['NEUROLOGY (189) ']
U-1756 ,"methods treating pain, inflammation and/or fever critically ill patient intravenous ibuprofen need thereof",['NEUROLOGY (189) ']
U-2018 ,"management mild moderate pain, management moderate severe pain adjunct opioid analgesics critically ill patient intravenous ibuprofen need thereof",['NEUROLOGY (189) ']
U-2004 ,replacement therapy oral carbamazepine adults partial seizures complex symptomatology,['NEUROLOGY (189) ']
U-2005 ,replacement therapy oral carbamazepine adults generalized tonic-clonic seizures,['NEUROLOGY (189) ']
U-2006 ,"replacement therapy oral carbamazepine adults mixed seizure patterns include partial seizures complex symptomatology, generalized tonic-clonic seizures, partial generalized seizures",['NEUROLOGY (189) ']
U-1239 ,magnetic resonance imaging liver,['ONCOLOGY (263) ']
U-1904 ,(i)treatment duchenne muscular dystrophy; (ii)restoring/increasing functional dystrophin protein; (iii) inducing skipping; (i)-(iii) patients confirmed mutation dmd gene amenable exon 51 skipping,['MUSCULOSKELETAL (109) ']
U-2097 ,treatment dmd patients mutation dmd gene amenable exon 51 skipping,['NEUROLOGY (189) ']
U-2098 ,increasing production functional dystrophin protein dmd patients mutation dmd gene amenable exon 51 skipping,['NEUROLOGY (189) ']
U-1918 ,treatment duchenne muscular dystrophy patients mutation dmd gene amenable exon 51 skipping,['MUSCULOSKELETAL (109) ']
U-1919 ,restoring mrna reading frame induce dystrophin protein production patients mutation dmd gene amenable exon 51 skipping,['NEUROLOGY (189) ']
U-1422 ,method treating patients needing iron supplement,['FAMILY MEDICINE (624) ']
U-1119 ,contrast agent magnetic resonance imaging,['ONCOLOGY (263) ']
U-2338 ,maintaining mean arterial pressure 65 mmhg 1 ng/kg/min 40 ng/kg/min angiotensin ii hypotensive patients treated vasopressin vasopressin analogue reducing vasopressin vasopressin analogue use,['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-2217 ,treating high output shock angiotensin ii increasing mean arterial pressure patients treated catecholamines reducing catecholamine use,['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-2218 ,maintaining mean arterial pressure 65 mmhg higher angiotensin ii shock patients treated catecholamines reducing catecholamine use,['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-2221 ,treating refractory hypotension 20 ng/kg/min angiotensin ii patient receiving vasopressor,['FAMILY MEDICINE (624) ']
U-2231 ,treating refractory hypotension 5 ng/kg/min 20 ng/kg/min angiotensin ii patient receiving vasopressor,['FAMILY MEDICINE (624) ']
U-1096 ,treatment patients metastatic breast cancer,['ONCOLOGY (263) ']
U-1812 ,treatment patients unresectable metastatic liposarcoma,['ONCOLOGY (263) ']
U-1630 ,treatment combination corticoid prednisone prostate cancer previously treated docetaxel,['ONCOLOGY (263) ']
U-869 ,method stimulating coronary vasodilation purposes imaging heart,['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-116 ,method myocardial imaging,['FAMILY MEDICINE (624) ']
U-870 ,method producing coronary vasodilation without peripheral vasodilation,['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-1003 ,method myocardial perfusion imaging increasing coronary blood flow,['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-1042 ,method stimulating coronary vasodilation purposes imaging heart,['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-1497 ,neuraceq radioactive diagnostic agent positron emission tomography (pet) imaging brain estimate p-amyloid neuritic plaque density adult patients cognitive impairment,['ONCOLOGY (263) ']
U-2261 ,modified dosing regimen management mild moderate pain management moderate severe pain adjunct opioid analgesics,['NEUROLOGY (189) ']
U-2262 ,modified dosing regimen reduction fever,['FAMILY MEDICINE (624) ']
U-2263 ,modified dosing regimen management moderate severe pain adjunctive opioid analgesics,['NEUROLOGY (189) ']
U-2378 ,treatment polyneuropathy hereditary transthyretin-mediated amyloidosis,['NEUROLOGY (189) ']
U-2014 ,method treating secondary hyperparathyroidism (shpt),['NEPHROLOGY (88) ']
U-2013 ,treatment amyotrophic lateral sclerosis (als),['NEUROLOGY (189) ']
U-1627 ,treatment acute uncomplicated influenza adults,['FAMILY MEDICINE (624) ']
U-1565 ,"method treating, initial loading dose monotherapy adjunctive therapy, partial onset-seizures patient epilepsy aged 17 years older oral administration temporarily feasible",['NEUROLOGY (189) ']
U-1568 ,"method treating, monotherapy adjunctive therapy, partial-onset seizures patient epilepsy aged 17 years older oral administration temporarily feasible",['NEUROLOGY (189) ']
U-2271 ,"therapeutic treatment patients castration-resistant prostate cancer, symptomatic bone metastases known visceral metastatic disease",['ONCOLOGY (263) ']
U-2328 ,method using plazomicin treat bacterial infections,['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-1832 ,improvement glycemic control diabetes mellitus patients use pen injector threaded drive sleeve,['ENDOCRINOLOGY (229) ']
U-2146 ,improvement glycemic control diabetes mellitus patients use pen injector rotating drive sleeve,['ENDOCRINOLOGY (229) ']
U-1518 ,maintaining pupil size preventing intraoperative miosis reducing postoperative ocular pain,['NEUROLOGY (189) ']
U-1971 ,treatment patients chronic lymphocytic leukemia,['ONCOLOGY (263) ']
U-1972 ,treatment patients indolent b-cell non-hodgkin lymphoma,['ONCOLOGY (263) ']
U-1542 ,use treatment patients chronic lymphocytic leukemia and/or non-hodgkins lymphoma,['ONCOLOGY (263) ']
U-1790 ,use treatment patients chronic lymphocytic leukemia (cll) and/or non-hodgkin's lymphoma,['ONCOLOGY (263) ']
U-2329 ,method administering local anesthetic prior performing diagnostic surgical procedure subject hepatic renal impairment,['NEPHROLOGY (88) ']
U-2478 ,"method induction local anesthesia prior performing procedure on, through, adjacent mucous membranes",['NEUROLOGY (189) ']
U-2479 ,method administering local anesthetic mucous membranes,['FAMILY MEDICINE (624) ']
U-2225 ,method administering local anesthetic mucous membranes patients hepatic impairment,['FAMILY MEDICINE (624) ']
U-2226 ,method administering local anesthetic mucous membranes patients renal impairment,['NEPHROLOGY (88) ']
U-2227 ,method administering local anesthetic mucous membranes geriatric patients,['FAMILY MEDICINE (624) ']
U-1492 ,treatment irritability associated autistic disorder,['FAMILY MEDICINE (624) ']
U-1529 ,adjunctive treatment major depressive disorder (mdd),['PSYCHIATRY/PSYCHOLOGY (73) ']
U-2295 ,treatment partial-onset seizures patients 4 years age older,['NEUROLOGY (189) ']
U-2427 ,use treatment drop seizures patients dravet syndrome,['NEUROLOGY (189) ']
U-2442 ,use treatment atonic seizures patients lennox-gastaut syndrome,['FAMILY MEDICINE (624) ']
U-2443 ,use treatment atonic seizures patients dravet syndrome,['NEUROLOGY (189) ']
U-2454 ,use treatment drop seizures patients lennox-gastaut syndrome,['FAMILY MEDICINE (624) ']
U-2455 ,use combination clobazam treatment drop seizures patients lennox gastaut syndrome,['FAMILY MEDICINE (624) ']
U-2421 ,use combination clobazam treatment seizures patients dravet syndrome,['NEUROLOGY (189) ']
U-2422 ,use combination clobazam treatment seizures patients lennox gastaut syndrome previously treated clobazam,['FAMILY MEDICINE (624) ']
U-2423 ,use combination clobazam treatment seizures patients dravet syndrome previously treated clobazam,['FAMILY MEDICINE (624) ']
U-2424 ,use combination clobazam treatment seizures patients lennox gastaut syndrome,['FAMILY MEDICINE (624) ']
U-2425 ,use treatment convulsive seizures patients dravet syndrome,['NEUROLOGY (189) ']
U-2426 ,use treatment convulsive seizures patients lennox gastaut syndrome,['FAMILY MEDICINE (624) ']
U-735 ,method treating chronic iron overload,['FAMILY MEDICINE (624) ']
U-1496 ,method treat hemangioma.,['FAMILY MEDICINE (624) ']
U-1988 ,method treat infantile hemangioma,['FAMILY MEDICINE (624) ']
U-824 ,method treating patients infected ccr5-tropic hiv-1,['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-1567 ,"method treating, initial loading dose monotherapy adjunctive therapy, partial onset-seizures patient epilepsy aged 17 years older",['NEUROLOGY (189) ']
U-2140 ,method treating partial onset seizures patients 4 years age older,['NEUROLOGY (189) ']
U-2473 ,"method treating cmn, ifs, hgg, dipgs, ptc, soft tissue sarcoma, spindle cell sarcoma solid tumors exhibiting ntrk gene fusion pediatric patient oral solution",['ONCOLOGY (263) ']
U-2471 ,method treating solid tumors exhibit ntrk fusion gene pediatric patient,['ONCOLOGY (263) ']
U-1110 ,method treating patient prescription drug using computer database computer system distribution,['FAMILY MEDICINE (624) ']
U-1069 ,method treating patient prescription drug using exclusive computer database computer system distribution,['FAMILY MEDICINE (624) ']
U-1070 ,method control abuse sensitive drug controlling computer processor distribution sensitive drug via exclusivity central pharmacy maintains central database,['ENDOCRINOLOGY (229) ']
U-1101 ,method treating excessive daytime sleepiness patients narcolepsy,['NEUROLOGY (189) ']
U-1102 ,method treating cataplexy patients narcolepsy,['FAMILY MEDICINE (624) ']
U-1532 ,method treating excessive daytime sleepiness and/or cataplexy narcolepsy patients sodium oxybate divalproex sodium concomitantly administered.,['NEUROLOGY (189) ']
U-1881 ,improvement glycemic control type 2 diabetes mellitus patients use pen injector,['ENDOCRINOLOGY (229) ']
