 Use Code,Use
U-2472 ,"METHOD OF TREATING NEUROBLASTOMA, GLIOMA, THYROID, AND BREAST CANCER SOLID TUMORS THAT EXHIBIT AN NTRK GENE FUSION"
U-2474 ,METHOD OF TREATING SOLID TUMORS THAT EXHIBIT AN NTRK GENE FUSION AFTER SURGICAL RESECTION
U-2469 ,METHOD OF TREATING CANCEROUS SOLID TUMORS
U-2470 ,METHOD OF TREATING SOLID TUMORS THAT EXHIBIT AN NTRK GENE FUSION
U-2475 ,METHOD OF TREATING SOLID TUMORS THAT EXHIBIT AN NTRK GENE FUSION IN A PEDIATRIC PATIENT
U-2160 ,MANAGEMENT OF OSTEOARTHRITIS PAIN BY ADMINISTERING 5 MG OF MELOXICAM
U-2165 ,MANAGEMENT OF OSTEOARTHRITIS PAIN BY ADMINISTERING 10 MG OF MELOXICAM
U-1750 ,TREATMENT OF SCHIZOPHRENIA AND/OR ACUTE MANIC OR MIXED EPISODES ASSOCIATED WITH BIPOLAR I DISORDER WITH CARIPRAZINE
U-727 ,FOR THE TREATMENT OF ATTENTION DEFICIT HYPERACTIVITY DISORDER (ADHD)
U-1034 ,TREATMENT OF ATTENTION DEFICIT HYPERACTIVITY DISORDER (ADHD) IN ADULTS
U-842 ,INDICATED FOR THE TREATMENT OF ATTENTION-DEFICIT/HYPERACTIVITY DISORDER (ADHD)
U-1179 ,TREATMENT OF A CANCER MEDIATED BY AN ANAPLASTIC LYMPHOMA KINASE (ALK)
U-1281 ,THE TREATMENT OF PATIENTS WITH METASTATIC CASTRATION-RESISTANT PROSTATE CANCER WHO HAVE PREVIOUSLY RECEIVED DOCETAXEL
U-1588 ,THE TREATMENT OF PATIENTS WITH METASTATIC CASTRATION-RESISTANT PROSTATE CANCER (CRPC).
U-2345 ,TREATMENT OF PATIENTS WITH CASTRATION-RESISTANT PROSTATE CANCER (CRPC)
U-88 ,TREATMENT OF MODERATE PLAQUE PSORIASIS
U-193 ,PSORIASIS
U-742 ,TWICE DAILY TOPICAL TREATMENT OF MODERATE TO SEVERE PLAQUE PSORIASIS.
U-1408 ,TREATMENT OF PLAQUE PSORIASIS IN PATIENTS 18 YEARS OF AGE OR OLDER
U-1858 ,TREATMENT OF PLAQUE PSORIASIS
U-540 ,TREATMENT OF FUNGAL INFECTIONS
U-1959 ,TOPICAL TREATMENT OF PERSISTENT FACIAL ERYTHEMA ASSOCIATED WITH ROSACEA IN ADULTS WITH 1% OXYMETAZOLINE HYDROCHLORIDE CREAM
U-2306 ,ONCE DAILY TOPICAL TREATMENT OF PERSISTENT FACIAL ERYTHEMA ASSOCIATED WITH ROSACEA IN ADULTS WITH 1% OXYMETAZOLINE HYDROCHLORIDE CREAM
U-805 ,TREATMENT OF IMPETIGO DUE TO STAPHYLOCOCCUS AUREUS OR STREPTOCOCCUS PYOGENES
U-2366 ,TREATMENT OF LIVER DISEASE THROUGH NUTRITION FOR PATIENTS UNDER THE AGE OF 12
U-2367 ,USE FOR PATIENTS WITH PARENTERAL NUTRITION ASSOCIATED CHOLESTASIS OR PARENTERAL NUTRITION ASSOCIATED LIVER DISEASE
U-1741 ,PREVENTION OF DELAYED NAUSEA AND VOMITING ASSOCIATED WITH EMETOGENIC CANCER CHEMOTHERAPY
U-1769 ,TREATEMENT OF PAIN BY TRANSMUCOSAL DELIVERY OF BUPRENORPHINE
U-1087 ,DETECTION OF NON-MUSCLE INVASIVE PAPILLARY CANCER OF THE BLADDER BY PHOTODYNAMIC CYSTOSCOPY
U-2250 ,DETECTION OF CARCINOMA IN THE BLADDER BY PHOTODYNAMIC CYSTOSCOPY
U-2220 ,A METHOD FOR THE DIAGNOSIS OF ADULT GROWTH HORMONE DEFICIENCY BY MEASURING THE LEVEL OF GROWTH HORMONE AFTER ORAL ADMINISTRATION OF MACIMORELIN
U-2310 ,FOR CLEANSING OF THE COLON IN PREPARATION FOR COLONOSCOPY IN ADULTS
U-2095 ,MITOSOL IS AN ANTIMETABOLITE INDICATED AS AN ADJUNCT TO AB EXTERNO GLAUCOMA SURGERY. IT IS INTENDED FOR TOPICAL APPLICATION TO THE SITE OF GLAUCOMA FILTRATION SURGERY
U-2151 ,METHOD OF TREATING PAIN OR INFLAMMATION WITH AN INJECTABLE CONTROLLED OR SUSTAINED RELEASE FORMULATION OF TRIAMCINOLONE ACETONIDE
U-543 ,TREATMENT OF SCHIZOPHRENIA
U-1632 ,"TREATMENT OF SCHIZOPHRENIA, WITH EFFICACY IN TREATING ACUTE EPISODES OF SCHIZOPHRENIA"
U-1633 ,USE OF ARIPIPRAZOLE IN EXTENDED RELEASE INJECTABLE SUSPENSION IN TREATING ACUTE EPISODES OF SCHIZOPHRENIA
U-1530 ,USE OF ARIPIPRAZOLE IN EXTENDED RELEASE INJECTABLE SUSPENSION
U-493 ,TREATMENT OF TYPE 2 DIABETES MELLITUS
U-2139 ,TREATMENT OF TYPE 2 DIABETES MELLITUS IN COMBINATION WITH EXENATIDE
U-654 ,"LOWERING PLASMA GLUCAGON IN A SUBJECT IN NEED THEREOF, INCLUDING ONE WITH TYPE 2 DIABETES, BY ADMINISTERING AN EXENDIN OR ANALOG, SUCH AS EXENDIN-4"
U-2288 ,TREATMENT OF TYPE 2 DIABETES MELLITUS WITH EXENATIDE AS AN ADD-ON TO BASIL INSULIN OR BASAL INSULIN PLUS METFORMIN THERAPY
U-1223 ,METHOD FOR TREATING TYPE 2 DIABETES USING A SUSTAINED-RELEASE COMPOSITION CONTAINING EXENATIDE
U-1313 ,AS AN ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS
U-412 ,TREATMENT OF TYPE 2 DIABETES
U-1522 ,"TREATMENT OF TYPE 2 DIABETES MELLITUS IN A PATIENT, WHEREIN GLYCEMIC CONTROL (HBA1C < 7.0%) IS NOT ACHIEVABLE USING ONE OR MORE OF INSULIN, METFORMIN, PIOGLITAZONE, OR ROSIGLITAZONE"
U-2154 ,REDUCING FASTING PLASMA GLUCOSE IN A HUMAN IN NEED THEREOF USING A SUSTAINED-RELEASE COMPOSITION CONTAINING EXENDIN-4
U-2155 ,REDUCING BODY WEIGHT IN A HUMAN IN NEED THEREOF USING A SUSTAINED-RELEASE COMPOSITION CONTAINING EXENDIN-4
U-2156 ,REDUCING HBA1C IN A HUMAN IN NEED THEREOF USING A SUSTAINED-RELEASE COMPOSITION CONTAINING EXENDIN-4
U-2363 ,ADMINISTRATION OF RISPERIDONE
U-1629 ,METHOD OF TREATING ACROMEGALY
U-1546 ,FOR USE IN THE TREATMENT OF MALIGNANT HYPERTHERMIA IN CONJUNCTION WITH APPROPRIATE SUPPORTIVE MEASURES AND FOR THE PREVENTION OF MALIGNANT HYPERTHERMIA IN PATIENTS AT HIGH RISK.
U-1434 ,TREATMENT OF PANCREATIC CANCER
U-1092 ,TREATMENT OF BREAST CANCER
U-1290 ,TREATMENT OF LUNG CANCER
U-1117 ,TREATMENT OF BREAST CANCER
U-1916 ,PREVENTION OF NAUSEA AND VOMITING ASSOCIATED WITH CHEMOTHERAPY (CINV)
U-2312 ,TREATMENT OF HYPERKALEMIA IN ADULTS
U-1736 ,TREATMENT OF THROMBOCYTOPENIA IN ADULT AND PEDIATRIC PATIENTS 1 YEAR AND OLDER WITH CHRONIC IMMUNE (IDIOPATHIC) THROMBOCYTOPENIA (ITP)
U-1286 ,A METHOD OF REDUCING THE RISK OF PULMONARY EDEMA IN PATIENTS IN NEED OF TREATMENT WITH INHALED NITRIC OXIDE
U-1226 ,A METHOD OF PROVIDING A PREDETERMINED CONCENTRATION OF NITRIC OXIDE TO A PATIENT
U-1453 ,A METHOD OF TREATING HYPOXIC RESPIRATORY FAILURE BY VERIFYING GAS INFORMATION OF NITRIC OXIDE PRIOR TO DELIVERY TO PATIENT
U-1824 ,A METHOD OF PROVIDING NITRIC OXIDE THERAPY TO A PATIENT BY VERIFYING GAS INFORMATION OF NITRIC OXIDE PRIOR TO DELIVERY TO PATIENT
U-1823 ,A METHOD OF PROVIDING NITRIC OXIDE THERAPY TO A PATIENT BY COMPENSATING LONG-TERM SENSITIVITY DRIFT OF ELECTROCHEMICAL GAS SENSORS USED IN SYSTEMS FOR DELIVERING THERAPEUTIC NITRIC OXIDE TO A PATIENT
U-2148 ,A METHOD OF PROVIDING NITRIC OXIDE THERAPY TO A PATIENT BY MEASURING AND DISPLAYING AN INDICATION OF THE CALCULATED DELIVERY CONCENTRATION OF NITIRIC OXIDE AS COMPARED TO THE DESIRED DELIVERY CONCENTRATION OF NITRIC OXIDE
U-1033 ,TOPICAL TREATMENT OF ACNE VULGARIS
U-804 ,TREATMENT OF ACTINIC KERATOSES BY PHOTODYNAMIC THERAPY
U-1078 ,TREATMENT OF ACNE
U-1222 ,TO INHIBIT THE PROLIFERATIVE ACTIVITY OF NEOPLASTIC CELLS
U-1440 ,USE OF INGENOL MEBUTATE TO TREAT ACTINIC KERATOSIS
U-2138 ,TOPICAL TREATMENT OF ACTINIC KERATOSIS OF THE FACE OR SCALP USING MORE THAN ONE TREATMENT COURSE OF INGENOL MEBUTATE
U-1427 ,ALKYLATING DRUG INDICATED FOR THE TOPICAL TREATMENT OF STAGE IA AND IB MYCOSIS FUNGOIDES-TYPE CUTANEOUS T-CELL LYMPHOMA IN PATIENTS WHO HAVE RECEIVED PRIOR SKIN DIRECTED THERAPY
U-1311 ,METHOD OF TREATING CYSTIC FIBROSIS
U-1906 ,"METHOD OF TREATING A PATIENT HAVING CYSTIC FIBROSIS, SUCH AS A PATIENT HAVING A G551D MUTATION IN CFTR, USING N-(5-HYDROXY-2,4-DI-TERT-BUTYL-PHENYL)-4-OXO-1H-QUINOLINE-3-CARBOXAMIDE"
U-1905 ,"METHOD OF TREATING A PATIENT HAVING CYSTIC FIBROSIS, THE PATIENT HAVING A R117H MUTATION IN CFTR, USING N-(5-HYDROXY-2,4-DI-TERT-BUTYL-PHENYL)-4-OXO-1H-QUINOLINE-3-CARBOXAMIDE"
U-2234 ,USE OF IVACAFTOR FOR TREATING CYSTIC FIBROSIS IN A PATIENT WITH A MILD TO MODERATE CF PHENOTYPE WITH AT LEAST ONE MUTATION IN THE CFTR GENE THAT IS RESPONSIVE TO IVACAFTOR BASED ON CLINICAL AND/OR IN VITRO ASSAY DATA
U-2374 ,TREATMENT OF CYSTIC FIBROSIS IN A PATIENT AGE 2-5 YEARS WHO IS HOMOZYGOUS FOR THE F508DEL MUTATION IN THE CFTR GENE USING LUMACAFTOR AND IVACAFTOR
U-2396 ,TREATMENT OF CYSTIC FIBROSIS IN A PATIENT AGE 2-5 YEARS WHO IS HOMOZYGOUS FOR THE F508DEL MUTATION IN THE CFTR GENE USING THE DOSAGE UNIT COMPRISING LUMACAFTOR AS RECITED IN CLAIM 1 OF US PATENT 8716338 AND IVACAFTOR
U-2375 ,TREATMENT OF CYSTIC FIBROSIS IN A PATIENT AGE 2-5 YEARS WHO IS HOMOZYGOUS FOR THE F508DEL MUTATION IN THE CFTR GENE USING LUMACAFTOR FORM I AND IVACAFTOR
U-2397 ,TREATMENT OF CYSTIC FIBROSIS IN A PATIENT AGE 2-5 YEARS WHO IS HOMOZYGOUS FOR THE F508DEL MUTATION IN THE CFTR GENE USING THE DOSAGE UNIT COMPRISING LUMACAFTOR AND IVACAFTOR AS RECITED IN CLAIM 1 OF US PATENT 9192606
U-2376 ,TREATMENT OF CYSTIC FIBROSIS IN A PATIENT AGE 2-5 YEARS WHO IS HOMOZYGOUS FOR THE F508DEL MUTATION IN THE CFTR GENE USING LUMACAFTOR AND A SOLID COMPOSITION COMPRISING AMORPHOUS AND LESS THAN ABOUT 30% CRYSTALLINE IVACAFTOR
U-1791 ,"EMERGENCY TREATMENT OF ADULT & PEDIATRIC PATIENTS FOLLOWING FLUOROURACIL OR CAPECITABINE OVERDOSE,OR WHO EXHIBIT EARLY-ONSET,SEVERE OR LIFE-THREATENING CARDIAC OR CNS TOXICITY OR UNUSUALLY SEVERE ADVERSE REACTIONS WITHIN 96 HOURS"
U-1878 ,FOR OPIOID DEPENDENCE
U-2272 ,TREATMENT OF NASAL POLYPS IN PATIENTS >=18 YEARS OF AGE WHO HAVE HAD ETHMOID SINUS SURGERY USING A CORTICOSTEROID-ELUTING (MOMETASONE FUROATE) IMPLANT
U-708 ,TREATMENT OF CHRONIC NON-INFECTIOUS UVEITIS AFFECTING THE POSTERIOR SEGMENT OF THE EYE
U-1271 ,TREATMENT OF ADULT PATIENTS WITH PHILADELPHIA CHROMOSOME-NEGATIVE(PH-) ACUTE LYMPHOBLASTIC LEUKEMIA (ALL) IN SECOND OR GREATER RELAPSE OR WHOSE DISEASE HAS PROGRESSED FOLLOWING TWO OR MORE ANTI-LEUKEMIA THERAPIES
U-1848 ,"TREATMENT OF METASTATIC ADENOCARCINOMA OF THE PANCREAS THAT HAS PROGRESSED ON GEMCITABINE-BASED THERAPY, IN COMBINATION WITH 5-FLUOROURACIL AND LEUCOVORIN"
U-1856 ,"TREATMENT OF METASTATIC ADENOCARCINOMA OF THE PANCREAS THAT HAS PROGRESSED ON GEMCITABINE-BASED THERAPY, IN COMBINATION WITH 5-FLUOROURACIL AND LEUCOVORIN, IN A PATIENT HOMOZYGOUS FOR THE UGT1A1*28 ALLELE"
U-1899 ,"TREATMENT OF PANCREATIC CANCER THAT HAS PROGRESSED ON GEMCITABINE-BASED THERAPY, IN COMBINATION WITH 5-FLUOROURACIL AND LEUCOVORIN"
U-1917 ,"TREATMENT OF EXOCRINE PANCREATIC CANCER THAT HAS PROGRESSED ON GEMCITABINE-BASED THERAPY, IN COMBINATION WITH 5-FLUOROURACIL AND LEUCOVORIN"
U-2091 ,"TREATMENT OF METASTATIC ADENOCARCINOMA OF THE PANCREAS THAT HAS PROGRESSED ON GEMCITABINE-BASED THERAPY, IN COMBINATION WITH 5-FLUOROURACIL AND LEUCOVORIN, IN A PATIENT NOT HOMOZYGOUS FOR THE UGT1A1*28 ALLELE"
U-1792 ,TREATMENT OF OTIC INFECTION OR INFLAMMATION
U-1793 ,TREATMENT OF PEDIATRIC PATIENTS WITH OTITIS MEDIA WITH EFFUSION UNDERGOING TYMPANOSTOMY TUBE PLACEMENT
U-2252 ,THE TREATMENT OF ACUTE OTITIS EXTERNA IN PATIENTS 6 MONTHS OF AGE AND OLDER DUE TO PSEUDOMONAS AERUGINOSA AND STAPHYLOCOCCUS AUREUS
U-967 ,"A METHOD OF REVERSING SOFT-TISSUE ANESTHESIA I.E. ANESTHESIA OF THE LIP AND TONGUE, AND THE ASSOCIATED FUNCTIONAL DEFICITS RESULTING FROM AN INTRAORAL SUBMUCOSAL INJECTION OF A LOCAL ANESTHETIC"
U-764 ,TREATMENT OF SCHIZOPHRENIA
U-596 ,TREATMENT OF HORMONE RECEPTOR POSITIVE METASTATIC BREAST CANCER IN POSTMENOPAUSAL WOMEN WITH DISEASE PROGRESSION FOLLOWING ANTIESTROGEN THERAPY
U-1826 ,"TREATMENT OF HR-POSITIVE, HUMAN EPIDERMAL GROWTH FACTOR RECEPTOR 2 (HER2)-NEGATIVE ADVANCED OR METASTATIC BREAST CANCER IN COMBINATION WITH PALBOCICLIB IN WOMEN WITH DISEASE PROGRESSION AFTER ENDOCRINE THERAPY"
U-2108 ,TREATMENT OF HORMONE RECEPTOR POSITIVE HER2-NEGATIVE ADVANCED BREAST CANCER IN POSTMENOPAUSAL WOMEN NOT PREVIOUSLY TREATED WITH ENDOCRINE THERAPY
U-2163 ,"TREATMENT OF HR-POSITIVE, HUMAN EPIDERMAL GROWTH FACTOR RECEPTOR 2 (HER-2)-NEGATIVE ADVANCED OR METASTATIC BREAST CANCER IN COMBINATION WITH PALBOCICLIB OR ABEMACICLIB IN WOMEN WITH DISEASE PROGRESSION AFTER ENDOCRINE THERAPY"
U-336 ,DIAGNOSTIC RADIOIMAGING
U-1187 ,TREATMENT OF PATHOLOGICAL STATE BY ANTAGONIZING BRADYKININ RECEPTOR INCLUDING TREATMENT OF ACUTE ATTACKS OF HEREDITARY ANGIOEDEMA (HAE)
U-1891 ,TREATMENT OR PREVENTION OF NAUSEA AND VOMITING
U-2253 ,"PROPHYLACTIC TREATMENT OF NAUSEA AND VOMITING, INCLUDING PREVENTION OF ACUTE AND DELAYED NAUSEA AND VOMITING ASSOCIATED CHEMOTHERAPY"
U-2316 ,TREATMENT OF DYSPAREUNIA
U-2317 ,TREATMENT OF A SYMPTOM OF VULVAR AND VAGINAL ATROPHY
U-1922 ,"INTRAVAGINAL PRASTERONE (DEHYDROEPIANDROSTERONE) AT A DAILY DOSE OF 6.5MG FOR THE TREATMENT OF DYSPAREUNIA, A SYMPTOM OF VULVAR AND VAGINAL ATROPHY, DUE TO MENOPAUSE"
U-2003 ,"A METHOD OF POSITIONING AN INTRAUTERINE SYSTEM BY HOLDING AN INSERTER HANDLE WITH ONE HAND, ADVANCING THE INSERTER THROUGH THE CERVIX AND INTO THE UTERUS, AND RETRACTING A SLIDER ON THE HANDLE TO RELEASE THE INTRAUTERINE SYSTEM"
U-2348 ,A METHOD FOR PREVENTION OF PREGNANCY
U-1816 ,TREATMENT OF A UREA CYCLE DISORDER
U-1383 ,DOSAGE ADJUSTMENT OF A NITROGEN SCAVENGING DRUG IN THE TREATMENT OF A UREA CYCLE DISORDER
U-835 ,RELIEF OF THE INFLAMMATORY AND PRURITIC MANIFESTATIONS OF ATOPIC DERMATITIS IN PATIENTS ONE YEAR OF AGE OR OLDER
U-1775 ,USE OF A LOTION CONTAINING HALOBETASOL PROPIONATE FOR THE TREATMENT OF CORTICOSTEROID-RESPONSIVE DERMATOSES INCLUDING PSORIASIS
U-1932 ,METHOD OF TREATING MILD TO MODERATE ATOPIC DERMATITIS.
U-2267 ,METHOD FOR RELIEVING THE PAIN ASSOCIATED WITH POST-HERPETIC NEURALGIA
U-645 ,TREATMENT OF ASTHMA
U-1476 ,"INDICATED FOR THE LONG-TERM, ONCE-DAILY, MAINTENANCE TREATMENT OF AIRFLOW OBSTRUCTION IN PATIENTS WITH CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD), INCLUDING CHRONIC BRONCHITIS AND/OR EMPHYSEMA."
U-1559 ,INDICATED FOR THE ONCE-DAILY MAINTENANCE TREATMENT OF ASTHMA AS PROPHYLACTIC THERAPY IN PATIENTS AGED 12 YEARS OF AGE AND OLDER
U-2349 ,FOR ONCE-DAILY MAINTENANCE TREATMENT OF ASTHMA AS PROPHYLACTIC THERAPY IN PATIENTS AGED 5 YEARS AND OLDER
U-1401 ,"INDICATED FOR LONG-TERM, ONCE-DAILY MAINTENANCE TREATMENT OF AIRFLOW OBSTRUCTION IN PTS WITH COPD, INCLUDING CHRONIC BRONCHITIS AND/OR EMPHYSEMA, ALSO TO REDUCE EXACERBATIONS OF COPD IN PTS WITH A HISTORY OF EXACERBATIONS"
U-1691 ,INDICATED FOR THE ONCE-DAILY INHALED TREATMENT FOR ASTHMA IN ADULTS AGED 18 YEARS AND OLDER
U-2099 ,"INDICATED FOR THE LONG-TERM, ONCE-DAILY, MAINTENANCE TREATMENT OF AIRFLOW OBSTRUCTION IN PATIENTS WITH CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD), INCLUDING BRONCHITIS AND/OR EMPHYSEMA"
U-2100 ,INDICATED FOR THE ONCE-DAILY TREATMENT OF ASTHMA IN PATIENTS 18 YEARS AND OLDER
U-1424 ,"LONG-TERM, ONCE DAILY MAINTENANCE TREATMENT OF AIRFLOW OBSTRUCTION IN PTS WITH COPD, INCLUDING CHRONIC BRONCHITIS AND/OR EMPHYSEMA, ALSO TO REDUCE EXACERBATIONS OF COPD IN PATIENTS WITH A HISTORY OF EXACERBATIONS"
U-1548 ,"FOR THE LONG-TERM, ONCE-DAILY MAINTENANCE TREATMENT OF AIRFLOW OBSTRUCTION IN PATIENTS WITH COPD, INCLUDING CHRONIC BRONCHITIS AND/OR EMPHYSEMA, ALSO TO REDUCE EXACERBATIONS OF COPD IN PATIENTS WITH A HISTORY OF EXACERBATIONS"
U-1773 ,LONG - TERM MAINTENANCE TREATMENT OF AIRFLOW OBSTRUCTION IN PATIENTS WITH CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD)
U-2125 ,THE TREATMENT OF AN INFLAMMATORY DISORDER OF THE RESPIRATORY TRACT BY ONCE-PER-DAY ADMINISTRATION OF A PHARMACEUTICAL FORMULATION COMPRISING FLUTICASONE FUROATE AND A LONG-ACTING BETA2 ADRENORECEPTOR AGONIST
U-2134 ,THE TREATMENT OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE BY ONCE-PER-DAY ADMINISTRATION OF A PHARMACEUTICAL FORMULATION COMPRISING FLUTICASONE FUROATE AND A LONG-ACTING BETA2 ADRENORECEPTOR
U-2126 ,"USE OF FLUTICASONE FUROATE FOR THE TREATMENT OF AN INFLAMMATORY OR ALLERGIC CONDITIONS, INCLUDING CHRONIC OBSTRUCTIVE PULMONARY DISEASE"
U-2127 ,"INDICATED FOR THE LONG-TERM, ONCE-DAILY, MAINTENANCE TREATMENT OF PATIENTS WITH CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD), INCLUDING CHRONIC BRONCHITIS AND/OR EMPHYSEMA "
U-2128 ,"METHOD OF INHIBITING THE BINDING OF ACETYLCHOLINE TO AN ACETYLCHOLINE RECEPTOR IN THE RESPIRATORY TRACT OF A HUMAN, COMPRISING CONTACTING THE RECEPTOR WITH AN EFFECTIVE AMOUNT OF UMECLIDINIUM, VIA INHALATION"
U-2129 ,"METHOD OF INHIBITING THE BINDING OF ACETYLCHOLINE TO AN ACETYLCHOLINE RECEPTOR IN THE RESPIRATORY TRACT OF A HUMAN, COMPRISING CONTACTING THE RECEPTOR WITH AN EFFECTIVE AMOUNT OF UMECLIDINIUM, VIA TOPICAL APPLICATION"
U-2301 ,USE IN COMBINATION WITH DEXAMETHASONE IN ADULTS FOR THE PREVENTION OF ACUTE AND DELAYED NAUSEA AND VOMITING ASSOCIATED WITH INITIAL AND REPEAT COURSES OF HIGHLY EMETOGENIC CANCER CHEMOTHERAPY
U-2124 ,TREATMENT OF ADULT PATIENTS WITH RELAPSED FOLLICULAR LYMPHOMA WHO HAVE RECEIVED AT LEAST TWO PRIOR SYSTEMIC THERAPIES
U-2028 ,TREATMENT OF ACUTE BACTERIAL SKIN AND SKIN STRUCTURE INFECTIONS CAUSED BY DESIGNATED SUSCEPTIBLE BACTERIA IN ADULTS
U-1544 ,TREATMENT OF PATIENTS WITH RELAPSED OR REFRACTORY PERIPHERAL T-CELL LYMPHOMA (PTCL).
U-1180 ,TREATMENT OF THE FOLLOWING INFECTIONS: COMPLICATED SKIN AND SKIN STRUCTURE INFECTIONS AND STAPHYLOCOCCUS AUREUS BLOODSTREAM INFECTIONS (BACTEREMIA) INCLUDING THOSE WITH RIGHT-SIDED INFECTIVE ENDOCARDITIS
U-1517 ,TREATMENT OF BACTERIAL INFECTIONS USING A TWO-DOSE REGIMEN OF DALBAVANCIN.
U-2265 ,PREVENTION OF NAUSEA AND VOMITING ASSOCIATED WITH HEC AND MEC IN ADULT AND PEDIATRIC PATIENTS
U-2260 ,"METHOD OF REDUCING THE RISK OF PERIPROCEDURAL MYOCARDIAL INFARCTION, AND STENT THROMBOSIS IN A PATIENT UNDERGOING PCI BY ADMINISTERING INTRAVENOUSLY 30 UG/KG BOLUS BEFORE PCI AND THEN A CONTINUOUS INFUSION"
U-1715 ,P2Y12 PLATELET INHIBITOR FOR USE AS ADJUNCT TO PERCUTANEOUS CORONARY INTERVENTION TO REDUCE RISK OF VARIOUS DISEASES/CONDITIONS IN PATIENTS NOT TREATED WITH A P2Y12 PLATELET INHIBITOR AND NOT GIVEN A GLYCOPROTEIN IIB/IIIA INHIBITOR
U-1926 ,"METHOD OF TREATING, REDUCING THE INCIDENCE OF, OR PREVENTING AN ISCHEMIC EVENT IN A PATIENT UNDERGOING PCI BY ADMINISTERING INTRAVENOUSLY 30 UG/KG BOLUS BEFORE PCI AND CONTINUOUS INFUSION OF 4 UG/KG/MIN FOR AT LEAST 2 HOURS OR THE DURATION OF THE PCI"
U-1260 ,TREATMENT OF PATIENTS WITH MULTIPLE MYELOMA WHO HAVE RECEIVED AT LEAST TWO PRIOR THERAPIES INCLUDING BORTEZOMIB AND AN IMMUNOMODULATORY AGENT AND HAVE DEMONSTRATED DISEASE PROGRESSION ON OR WITHIN 60 DAYS OF COMPLETION OF THE LAST THERAPY
U-1924 ,KYPROLIS IS INDICATED IN COMBINATION WITH LENALIDOMIDE PLUS DEXAMETHASONE FOR THE TREATMENT OF PATIENTS WITH RELAPSED OR REFRACTORY MULTIPLE MYELOMA WHO HAVE RECEIVED ONE TO THREE LINES OF THERAPY
U-2319 ,KYPROLIS IS INDICATED IN COMBINATION WITH DEXAMETHASONE OR WITH LENALIDOMIDE PLUS DEXAMETHASONE FOR THE TREATMENT OF PATIENTS WITH RELAPSED OR REFRACTORY MULTIPLE MYELOMA WHO HAVE RECEIVED ONE TO THREE LINES OF THERAPY
U-2320 ,KYPROLIS IS INDICATED AS A SINGLE AGENT FOR THE TREATMENT OF PATIENTS WITH RELAPSED OR REFRACTORY MULTIPLE MYELOMA WHO HAVE RECEIVED ONE OR MORE LINES OF THERAPY
U-2449 ,TREATMENT OF BACTERIAL SKIN AND SKIN STRUCTURE INFECTION
U-1569 ,TREATMENT OF BACTERIAL SKIN AND SKIN STRUCTURE INFECTIONS
U-1570 ,TREATMENT OF BACTERIAL SKIN AND SKIN STRUCTURE INFECTIONS USING A SINGLE DOSE
U-282 ,METHOD OF TREATING BACTERIAL INFECTIONS
U-1676 ,METHODS FOR TREATING BACTERIAL INFECTIONS
U-2341 ,METHOD OF RECONSTITUTING A LYOPHILIZED LIPOSOMAL COMPOSITION FOR ADMINISTERING CYTARABINE AND DAUNORUBICIN TO TREAT ADULTS WITH NEWLY-DIAGNOSED THERAPY-RELATED ACUTE MYELOID LEUKEMIA (T-AML) OR AML WITH MYELODYSPLASIA-RELATED CHANGES (AML-MRC)
U-2342 ,METHOD OF ADMINISTERING A RECONSTITUTED LIPOSOMAL COMPOSITION CONTAINING CYTARABINE AND DAUNORUBICIN TO TREAT ADULTS WITH NEWLY-DIAGNOSED THERAPY-RELATED ACUTE MYELOID LEUKEMIA (T-AML) OR AML WITH MYELODYSPLASIA-RELATED CHANGES (AML-MRC)
U-2090 ,FOR THE TREATMENT OF ADULTS WITH NEWLY-DIAGNOSED THERAPY-RELATED ACUTE MYELOID LEUKEMIA (T-AML) OR AML WITH MYELODYSPLASIA-RELATED CHANGES (AML-MRC)
U-36 ,METHODS OF TREATING BACTERIAL ILLNESSES
U-1672 ,TREATMENT OF COMPLICATED INTRA-ABDOMINAL INFECTION
U-1673 ,"TREATMENT OF COMPLICATED URINARY TRACT INFECTION, INCLUDING PYELONEPHRITIS"
U-2460 ,"VISUALIZATION OF VESSELS, BLOOD FLOW AND TISSUE PERFUSION OF CORONARY ARTERY BYPASS GRAFT IN VASCULAR, GASTROINTESTINAL, ORGAN TRANSPLANT, AND PLASTIC, MICRO- AND RECONSTRUCTIVE, INCLUDING MINIMALLY INVASIVE, SURGERY"
U-2461 ,"VISUALIZATION OF VESSELS, BLOOD FLOW AND TISSUE PERFUSION OF CARDIOVASCULAR BYPASS GRAFT AND VASCULATURE IN VASCULAR, GASTROINTESTINAL, ORGAN TRANSPLANT, AND PLASTIC, MICRO- AND RECONSTRUCTIVE, INCLUDING MINIMALLY INVASIVE, SURGERY"
